"year","numflights","totaldelay","numdelay15"
"2009",428007,4098802,66823
"2010",1020954,11791701,195135
"2011",1888048,20444495,351359
"2012",1867414,17558426,300732
"2013",1820884,21734885,390835
"2014",1174633,18587033,334478
"2015",1261855,15276796,265443
