date,numflights,totaldelay,avgdelay,numdelay15
10/29/1991,2073,46548,0,748
10/30/1991,2060,15544,15,396
10/31/1991,2073,23443,1,587
4/1/1989,1981,7798,15,144
4/2/1989,1976,15900,2,289
4/3/1989,2013,11604,5,241
4/4/1989,2026,29087,5,570
4/5/1989,2045,8871,11,170
4/6/1989,2035,6751,-1,118
4/7/1989,2080,6077,0,115
4/8/1989,1988,7900,10,155
4/9/1989,1989,11091,10,192
4/10/1989,2052,6040,-2,103
4/11/1989,2051,3450,-1,74
4/12/1989,2054,5424,0,107
4/13/1989,2051,7999,3,179
4/14/1989,2037,8986,3,179
4/15/1989,1993,7635,-1,150
4/16/1989,2026,12178,5,206
4/17/1989,2065,3853,-1,89
4/18/1989,2020,5876,-2,120
4/19/1989,2037,4884,-2,106
4/20/1989,2050,7249,0,104
4/21/1989,2081,4105,0,72
4/22/1989,2048,4027,-1,75
4/23/1989,2032,5357,1,96
4/24/1989,2052,5881,29,118
4/25/1989,2056,7639,-2,170
4/26/1989,2052,3641,5,76
4/27/1989,2060,9977,-3,140
4/28/1989,2039,14813,0,310
4/29/1989,2027,7279,-1,119
4/30/1989,2006,7392,75,137
1/1/2008,1723,39807,28,696
1/2/2008,1742,36411,10,671
1/3/2008,1747,27266,21,496
1/4/2008,1750,27538,0,473
1/5/2008,1534,28644,0,473
1/6/2008,1701,39411,-6,615
1/7/2008,1729,44099,0,517
1/8/2008,1710,32868,0,499
1/9/2008,1713,9869,35,285
1/10/2008,1732,13787,28,284
1/11/2008,1735,20060,20,344
1/12/2008,1485,5195,-3,179
1/13/2008,1681,15020,299,324
1/14/2008,1727,17945,2,360
1/15/2008,1707,5489,-5,170
1/16/2008,1711,7545,-1,205
1/17/2008,1732,39813,-3,616
1/18/2008,1736,27607,4,512
1/19/2008,1487,14142,0,305
1/20/2008,1680,9275,-6,257
1/21/2008,1726,41869,92,598
1/22/2008,1708,42410,49,676
1/23/2008,1711,29720,-5,462
1/24/2008,1731,17352,7,352
1/25/2008,1736,26400,12,489
1/26/2008,1485,11346,-3,296
1/27/2008,1676,31648,0,512
1/28/2008,1726,30772,-3,469
1/29/2008,1705,42177,-5,622
1/30/2008,1715,20385,45,395
1/31/2008,1729,48190,27,698
7/1/2003,2124,6589,-2,234
7/2/2003,2126,29222,0,436
7/3/2003,2180,12963,0,313
7/4/2003,1683,3593,3,192
7/5/2003,1844,7786,-4,219
7/6/2003,2109,51832,-2,586
7/7/2003,2178,51591,-3,746
7/8/2003,2166,50984,18,621
7/9/2003,2170,32528,0,561
7/10/2003,2179,22624,67,460
7/11/2003,2176,18313,-3,375
7/12/2003,1897,9095,-3,236
7/13/2003,2114,15016,0,297
7/14/2003,2177,9629,-1,266
7/15/2003,2166,16177,0,387
7/16/2003,2169,8058,165,228
7/17/2003,2179,20653,-4,304
7/18/2003,2176,33251,-2,616
7/19/2003,1893,10550,0,287
7/20/2003,2115,10333,0,303
7/21/2003,2178,25034,0,490
7/22/2003,2168,32715,9,492
7/23/2003,2172,14252,-7,338
7/24/2003,2178,9663,-2,243
7/25/2003,2174,5855,-3,206
7/26/2003,1897,4747,4,181
7/27/2003,2115,32417,-1,539
7/28/2003,2179,8635,44,257
7/29/2003,2169,8846,1,259
7/30/2003,2171,6154,-4,262
7/31/2003,2178,21381,5,431
1/1/1999,1750,37098,91,564
1/2/1999,1683,26955,0,389
1/3/1999,1774,46980,22,761
1/4/1999,1840,57275,49,857
1/5/1999,1840,47666,124,713
1/6/1999,1843,83188,0,1033
1/7/1999,1849,27336,11,483
1/8/1999,1851,61053,0,648
1/9/1999,1668,22143,6,333
1/10/1999,1772,21289,12,348
1/11/1999,1845,37161,48,479
1/12/1999,1846,12073,32,245
1/13/1999,1847,23869,83,426
1/14/1999,1849,27300,9,386
1/15/1999,1850,31603,3,441
1/16/1999,1666,8564,24,162
1/17/1999,1773,19099,183,319
1/18/1999,1849,26232,8,373
1/19/1999,1848,7216,-1,181
1/20/1999,1847,14887,0,346
1/21/1999,1850,25695,23,408
1/22/1999,1850,23130,2,375
1/23/1999,1662,16221,50,293
1/24/1999,1772,14764,-1,249
1/25/1999,1851,6510,-3,162
1/26/1999,1850,5603,-2,144
1/27/1999,1850,7832,-2,196
1/28/1999,1850,17508,0,331
1/29/1999,1850,33857,74,601
1/30/1999,1666,7678,-2,152
1/31/1999,1779,10562,36,175
11/1/2000,2081,24673,-5,521
11/2/2000,2104,14326,-4,315
11/3/2000,2102,12090,-2,262
11/4/2000,1936,5982,-4,145
11/5/2000,2026,45971,-2,542
11/6/2000,2105,35078,-5,536
11/7/2000,2104,6831,-4,193
11/8/2000,2105,19543,-5,451
11/9/2000,2104,30524,-1,594
11/10/2000,2103,20146,-2,326
11/11/2000,1936,7162,-3,170
11/12/2000,2028,57846,-2,792
11/13/2000,2103,13814,-3,302
11/14/2000,2104,10449,-6,224
11/15/2000,2103,9410,-3,204
11/16/2000,2104,24579,-4,479
11/17/2000,2106,24716,-5,515
11/18/2000,1933,15199,-5,318
11/19/2000,2028,16857,-2,338
11/20/2000,2104,20266,-4,404
11/21/2000,2105,12859,0,276
11/22/2000,2109,20318,-1,364
11/23/2000,1564,9118,-1,209
11/24/2000,1796,3896,-3,145
11/25/2000,1880,17935,245,311
11/26/2000,1991,43999,-1,661
11/27/2000,2108,25695,0,496
11/28/2000,2105,12705,2,269
11/29/2000,2109,14838,-1,331
11/30/2000,2108,13759,-6,292
7/1/1994,2002,16696,-1,465
7/2/1994,1929,5889,6,131
7/3/1994,1875,2141,0,62
7/4/1994,1896,869,-1,35
7/5/1994,2002,5987,0,126
7/6/1994,2045,10574,27,219
7/7/1994,2007,20848,91,257
7/8/1994,1983,10679,-1,183
7/9/1994,1973,46934,3,682
7/10/1994,1971,22837,15,250
7/11/1994,2024,19739,1,438
7/12/1994,2048,44522,197,627
7/13/1994,2030,31262,14,693
7/14/1994,2061,38196,24,533
7/15/1994,2018,7095,6,150
7/16/1994,1957,4189,-1,90
7/17/1994,1989,4906,1,94
7/18/1994,2024,6305,-3,121
7/19/1994,2017,5809,4,139
7/20/1994,2033,11265,34,212
7/21/1994,2002,20639,-1,274
7/22/1994,1974,13447,-2,255
7/23/1994,1945,11107,0,163
7/24/1994,1965,4663,1,86
7/25/1994,2008,8926,2,159
7/26/1994,2020,17111,0,215
7/27/1994,2034,5821,-1,114
7/28/1994,1994,9432,2,193
7/29/1994,2018,5570,0,149
7/30/1994,1975,4265,0,107
7/31/1994,1993,3070,4,74
11/1/1991,2117,36706,2,415
11/2/1991,1827,15080,-1,215
11/3/1991,2005,5619,-1,112
11/4/1991,2103,4407,0,108
11/5/1991,2073,8323,2,176
11/6/1991,2100,7421,0,161
11/7/1991,2056,4982,0,95
11/8/1991,2075,5196,8,83
11/9/1991,1896,5243,-1,125
11/10/1991,2033,8928,1,193
11/11/1991,2129,4130,0,93
11/12/1991,2122,2882,0,63
11/13/1991,2109,9299,0,184
11/14/1991,2118,4548,2,97
11/15/1991,2074,11653,1,266
11/16/1991,1887,10623,30,304
11/17/1991,2029,7737,0,163
11/18/1991,2126,1294,9,35
11/19/1991,2109,17950,0,435
11/20/1991,2128,2730,4,56
11/21/1991,2139,2395,1,53
11/22/1991,2113,27379,1,526
11/23/1991,1881,5469,1,131
11/24/1991,2066,2910,-1,68
11/25/1991,2139,1663,-1,47
11/26/1991,2117,4833,1,71
11/27/1991,2152,5666,10,128
11/28/1991,1470,1269,0,27
11/29/1991,1411,1414,-3,26
11/30/1991,1862,6000,-1,117
5/1/1989,1994,12494,-2,233
5/2/1989,2005,10511,-1,184
5/3/1989,2030,40103,15,666
5/4/1989,1994,31443,-1,644
5/5/1989,2036,9529,0,191
5/6/1989,1968,16591,-3,304
5/7/1989,2004,6257,2,133
5/8/1989,2001,3621,-2,81
5/9/1989,2029,4753,-2,97
5/10/1989,2001,6328,3,126
5/11/1989,2018,6415,4,126
5/12/1989,2029,5502,1,100
5/13/1989,1998,4983,-1,95
5/14/1989,2025,4409,2,74
5/15/1989,2030,5924,0,104
5/16/1989,2000,31677,-2,466
5/17/1989,2025,29597,0,487
