year,state,people,,Sum of people,Column Labels,,,,,,,,,,,,,,
1995,AK,1880,,Row Labels,AK,AZ,CA,ID,ME,MI,MN,MT,ND,NM,NY,TX,VT,WA,Grand Total
1995,AZ,897484,,,,,,,,,,,,,,,,,
1995,CA,326464,,,,,,,,,,,,,,,,,
1995,CA,2343189,,,,,,,,,,,,,,,,,
1995,CA,877996,,,,,,,,,,,,,,,,,
1995,CA,293378,,,,,,,,,,,,,,,,,
1995,NM,41299,,,,,,,,,,,,,,,,,
1995,TX,1450364,,,,,,,,,,,,,,,,,
1995,TX,398092,,,,,,,,,,,,,,,,,
1995,TX,575377,,,,,,,,,,,,,,,,,
1995,TX,3289484,,,,,,,,,,,,,,,,,
1995,TX,145265,,,,,,,,,,,,,,,,,
1995,TX,1900559,,,,,,,,,,,,,,,,,
1995,TX,1484228,,,,,,,,,,,,,,,,,
1995,TX,123211,,,,,,,,,,,,,,,,,
1995,TX,309148,,,,,,,,,,,,,,,,,
1995,TX,154429,,,,,,,,,,,,,,,,,
1995,TX,363339,,,,,,,,,,,,,,,,,
1995,CA,287,,,,,,,,,,,,,,,,,
1995,TX,3363078,,,,,,,,,,,,,,,,,
1995,AK,1862,,,,,,,,,,,,,,,,,
1995,AK,1062,,,,,,,,,,,,,,,,,
1995,AK,1237,,,,,,,,,,,,,,,,,
1995,ID,9228,,,,,,,,,,,,,,,,,
1995,ID,22748,,,,,,,,,,,,,,,,,
1995,ME,28362,,,,,,,,,,,,,,,,,
1995,ME,250334,,,,,,,,,,,,,,,,,
1995,ME,39898,,,,,,,,,,,,,,,,,
1995,ME,51908,,,,,,,,,,,,,,,,,
1995,ME,75824,,,,,,,,,,,,,,,,,
1995,ME,25790,,,,,,,,,,,,,,,,,
1995,ME,6275,,,,,,,,,,,,,,,,,
1995,ME,143498,,,,,,,,,,,,,,,,,
1995,ME,58556,,,,,,,,,,,,,,,,,
1995,ME,8405,,,,,,,,,,,,,,,,,
1995,MI,1595288,,,,,,,,,,,,,,,,,
1995,MI,279841,,,,,,,,,,,,,,,,,
1995,MI,315844,,,,,,,,,,,,,,,,,
1995,MN,29954,,,,,,,,,,,,,,,,,
1995,MN,34139,,,,,,,,,,,,,,,,,
1995,MN,78225,,,,,,,,,,,,,,,,,
1995,MN,7815,,,,,,,,,,,,,,,,,
1995,MN,1051,,,,,,,,,,,,,,,,,
1995,MN,6530,,,,,,,,,,,,,,,,,
1995,MN,16688,,,,,,,,,,,,,,,,,
1995,MT,5202,,,,,,,,,,,,,,,,,
1995,MT,709,,,,,,,,,,,,,,,,,
1995,MT,523,,,,,,,,,,,,,,,,,
1995,MT,10824,,,,,,,,,,,,,,,,,
1995,MT,5009,,,,,,,,,,,,,,,,,
1995,MT,20108,,,,,,,,,,,,,,,,,
1995,MT,1150,,,,,,,,,,,,,,,,,
1995,MT,63172,,,,,,,,,,,,,,,,,
1995,MT,2064,,,,,,,,,,,,,,,,,
1995,MT,470,,,,,,,,,,,,,,,,,
1995,MT,238,,,,,,,,,,,,,,,,,
1995,NY,76496,,,,,,,,,,,,,,,,,
1995,NY,865186,,,,,,,,,,,,,,,,,
1995,NY,166721,,,,,,,,,,,,,,,,,
1995,NY,195096,,,,,,,,,,,,,,,,,
1995,NY,44824,,,,,,,,,,,,,,,,,
1995,NY,24167,,,,,,,,,,,,,,,,,
1995,ND,1609,,,,,,,,,,,,,,,,,
1995,ND,1464,,,,,,,,,,,,,,,,,
1995,ND,2332,,,,,,,,,,,,,,,,,
1995,ND,11932,,,,,,,,,,,,,,,,,
1995,ND,2732,,,,,,,,,,,,,,,,,
1995,ND,1250,,,,,,,,,,,,,,,,,
1995,ND,1509,,,,,,,,,,,,,,,,,
1995,ND,2806,,,,,,,,,,,,,,,,,
1995,ND,6137,,,,,,,,,,,,,,,,,
1995,ND,6057,,,,,,,,,,,,,,,,,
1995,ND,2370,,,,,,,,,,,,,,,,,
1995,ND,39491,,,,,,,,,,,,,,,,,
1995,ND,24475,,,,,,,,,,,,,,,,,
1995,ND,598,,,,,,,,,,,,,,,,,
1995,ND,2366,,,,,,,,,,,,,,,,,
1995,ND,3171,,,,,,,,,,,,,,,,,
1995,ND,4429,,,,,,,,,,,,,,,,,
1995,ND,1267,,,,,,,,,,,,,,,,,
1995,VT,11315,,,,,,,,,,,,,,,,,
1995,VT,106595,,,,,,,,,,,,,,,,,
1995,VT,52769,,,,,,,,,,,,,,,,,
1995,VT,9201,,,,,,,,,,,,,,,,,
1995,VT,18782,,,,,,,,,,,,,,,,,
1995,WA,511013,,,,,,,,,,,,,,,,,
1995,WA,7073,,,,,,,,,,,,,,,,,
1995,WA,13611,,,,,,,,,,,,,,,,,
1995,WA,1918,,,,,,,,,,,,,,,,,
1995,WA,11100,,,,,,,,,,,,,,,,,
1995,WA,8715,,,,,,,,,,,,,,,,,
1995,WA,104173,,,,,,,,,,,,,,,,,
1995,WA,5510,,,,,,,,,,,,,,,,,
1995,WA,1249,,,,,,,,,,,,,,,,,
1995,WA,44056,,,,,,,,,,,,,,,,,
1995,WA,166955,,,,,,,,,,,,,,,,,
1995,WA,200281,,,,,,,,,,,,,,,,,
1995,AZ,378659,,,,,,,,,,,,,,,,,
1995,AZ,66198,,,,,,,,,,,,,,,,,
1995,AZ,58656,,,,,,,,,,,,,,,,,
1995,AZ,1052031,,,,,,,,,,,,,,,,,
1995,AZ,4478,,,,,,,,,,,,,,,,,
1995,AZ,807262,,,,,,,,,,,,,,,,,
1995,CA,366675,,,,,,,,,,,,,,,,,
1995,CA,2246121,,,,,,,,,,,,,,,,,
1995,CA,831183,,,,,,,,,,,,,,,,,
1995,CA,288593,,,,,,,,,,,,,,,,,
1995,NM,48311,,,,,,,,,,,,,,,,,
1995,TX,1341762,,,,,,,,,,,,,,,,,
1995,TX,361941,,,,,,,,,,,,,,,,,
1995,TX,518117,,,,,,,,,,,,,,,,,
1995,TX,3499170,,,,,,,,,,,,,,,,,
1995,TX,152343,,,,,,,,,,,,,,,,,
1995,TX,1671889,,,,,,,,,,,,,,,,,
1995,TX,709028,,,,,,,,,,,,,,,,,
1995,TX,107291,,,,,,,,,,,,,,,,,
1995,TX,336441,,,,,,,,,,,,,,,,,
1995,TX,135504,,,,,,,,,,,,,,,,,
1995,TX,329974,,,,,,,,,,,,,,,,,
1995,TX,3423625,,,,,,,,,,,,,,,,,
1995,AK,2345,,,,,,,,,,,,,,,,,
1995,AK,1241,,,,,,,,,,,,,,,,,
1995,AK,2116,,,,,,,,,,,,,,,,,
1995,ID,12281,,,,,,,,,,,,,,,,,
1995,ID,27108,,,,,,,,,,,,,,,,,
1995,ME,33167,,,,,,,,,,,,,,,,,
1995,ME,281385,,,,,,,,,,,,,,,,,
1995,ME,46465,,,,,,,,,,,,,,,,,
1995,ME,60715,,,,,,,,,,,,,,,,,
1995,ME,84751,,,,,,,,,,,,,,,,,
1995,ME,27573,,,,,,,,,,,,,,,,,
1995,ME,7839,,,,,,,,,,,,,,,,,
1995,ME,165342,,,,,,,,,,,,,,,,,
1995,ME,70641,,,,,,,,,,,,,,,,,
1995,ME,9209,,,,,,,,,,,,,,,,,
1995,MI,1689891,,,,,,,,,,,,,,,,,
1995,MI,370965,,,,,,,,,,,,,,,,,
1995,MI,379922,,,,,,,,,,,,,,,,,
1995,MN,35733,,,,,,,,,,,,,,,,,
1995,MN,56340,,,,,,,,,,,,,,,,,
1995,MN,98582,,,,,,,,,,,,,,,,,
1995,MN,9652,,,,,,,,,,,,,,,,,
1995,MN,949,,,,,,,,,,,,,,,,,
1995,MN,6629,,,,,,,,,,,,,,,,,
1995,MN,22717,,,,,,,,,,,,,,,,,
1995,MT,4730,,,,,,,,,,,,,,,,,
1995,MT,999,,,,,,,,,,,,,,,,,
1995,MT,744,,,,,,,,,,,,,,,,,
1995,MT,11469,,,,,,,,,,,,,,,,,
1995,MT,6690,,,,,,,,,,,,,,,,,
1995,MT,20696,,,,,,,,,,,,,,,,,
1995,MT,1148,,,,,,,,,,,,,,,,,
1995,MT,48324,,,,,,,,,,,,,,,,,
1995,MT,1022,,,,,,,,,,,,,,,,,
1995,MT,660,,,,,,,,,,,,,,,,,
1995,MT,321,,,,,,,,,,,,,,,,,
1995,NY,105915,,,,,,,,,,,,,,,,,
1995,NY,1294202,,,,,,,,,,,,,,,,,
1995,NY,248668,,,,,,,,,,,,,,,,,
1995,NY,245833,,,,,,,,,,,,,,,,,
1995,NY,55920,,,,,,,,,,,,,,,,,
1995,NY,34500,,,,,,,,,,,,,,,,,
1995,ND,488,,,,,,,,,,,,,,,,,
1995,ND,1895,,,,,,,,,,,,,,,,,
1995,ND,2200,,,,,,,,,,,,,,,,,
1995,ND,9797,,,,,,,,,,,,,,,,,
1995,ND,2628,,,,,,,,,,,,,,,,,
1995,ND,1254,,,,,,,,,,,,,,,,,
