year,state,percent insured,,Sum of percent insured,Column Labels,,,,,,State,2008,2009,2010,2012,2013,,
2009,Minnesota,89.8,,,,,,,,,,,,,,,,
2009,Mississippi,79.5,,,,,,,,,,,,,,,,
2009,Missouri,84.8,,,,,,,,,,,,,,,,
2009,Montana,78.3,,,,,,,,,,,,,,,,
2009,Nebraska,86.7,,,,,,,,,,,,,,,,
2009,Nevada,75.5,,,,,,,,,,,,,,,,
2009,New Hampshire,88,,,,,,,,,,,,,,,,
2009,New Jersey,85.6,,,,,,,,,,,,,,,,
2009,New Mexico,77.1,,,,,,,,,,,,,,,,
2009,New York,86.8,,,,,,,,,,,,,,,,
2009,North Carolina,82,,,,,,,,,,,,,,,,
2009,North Dakota,88.5,,,,,,,,,,,,,,,,
2009,Ohio,86,,,,,,,,,,,,,,,,
2009,Oklahoma,78.6,,,,,,,,,,,,,,,,
2009,Oregon,80.6,,,,,,,,,,,,,,,,
2009,Pennsylvania,88.3,,,,,,,,,,,,,,,,
2009,Rhode Island,86.7,,,,,,,,,,,,,,,,
2009,South Carolina,80.6,,,,,,,,,,,,,,,,
2009,South Dakota,85.2,,,,,,,,,,,,,,,,
2009,Tennessee,83.7,,,,,,,,,,,,,,,,
2009,Texas,73.7,,,,,,,,,,,,,,,,
2009,Utah,84.1,,,,,,,,,,,,,,,,
2009,Vermont,89.6,,,,,,,,,,,,,,,,
2009,Virginia,86.4,,,,,,,,,,,,,,,,
2009,Washington,85,,,,,,,,,,,,,,,,
2009,West Virginia,83.2,,,,,,,,,,,,,,,,
2009,Wisconsin,89.4,,,,,,,,,,,,,,,,
2009,Wyoming,82.7,,,,,,,,,,,,,,,,
2010,Alabama,83.1,,,,,,,,,,,,,,,,
2010,Alaska,78.6,,,,,,,,,,,,,,,,
2010,Arizona,80.7,,,,,,,,,,,,,,,,
2010,Arkansas,79.4,,,,,,,,,,,,,,,,
2010,California,79.3,,,,,,,,,,,,,,,,
2010,Colorado,82.3,,,,,,,,,,,,,,,,
2010,Connecticut,89.6,,,,,,,,,,,,,,,,
2010,Delaware,88.4,,,,,,,,,,,,,,,,
2010,District of Columbia,91,,,,,,,,,,,,,,,,
