"year","numflights","totaldelay","numdelay15"
"2009",428007,4098802,66823
"2010",1020954,11791701,195135
"2011",1888048,20444495,351359
"2012",1867414,17558426,300732
"2013",1885374,22111321,396456
"2014",1975008,26192870,450469
"2015",2137736,23662400,388807
