date,count
6-1-2016,38
6-2-2016,16
6-3-2016,0
6-4-2016,0
6-5-2016,0
6-6-2016,0
6-7-2016,0
6-8-2016,16
6-9-2016,21
6-10-2016,33
6-11-2016,47
6-12-2016,42
6-13-2016,38
6-14-2016,39
6-15-2016,36
6-16-2016,31
6-17-2016,41
6-18-2016,49
6-19-2016,52
6-20-2016,35
